session_id,session_status,session_name,paper_title,original_slot,new_slot,category,paper_id,contact_author
45,DISSOLVED,Energy Infrastructure and Communities,From sustainability pursuit to place-based outcomes: Urgency and infrastructure in U.S. data center expansion,W3 Wed,(dissolved),"Sustainable Innovation, Energy & Mobility",201,Angela Ryu
46,DISSOLVED,Energy Systems and Reliability,(title not found),T3 Thu,(dissolved),"Sustainable Innovation, Energy & Mobility",18,
46,DISSOLVED,Energy Systems and Reliability,(title not found),T3 Thu,(dissolved),"Sustainable Innovation, Energy & Mobility",42,
46,DISSOLVED,Energy Systems and Reliability,Harnessing the Wind: Temporal Conditions of Plural Sourcing Strategies  in the Electric Utility Industry,T3 Thu,(dissolved),"Sustainable Innovation, Energy & Mobility",44,Jennifer Woolley
46,DISSOLVED,Energy Systems and Reliability,(title not found),T3 Thu,(dissolved),"Sustainable Innovation, Energy & Mobility",189,
2,ACTIVE,Public Policy and ESG,Potential Impact of Tariffs on the Price of Generic Drugs Made in the US with Imported Active Ingredients,—,T2 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",46,Mariana Socal
2,ACTIVE,Public Policy and ESG,From Bribes to Bytes: How Has Fraud Evolved in the U.S. Transportation Sector Projects?,—,T2 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",85,Young Kwak
2,ACTIVE,Public Policy and ESG,Volume or Depth? Operational Pathways to Federal Funding Success in Nonprofits,—,T2 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",172,Telesilla Kotsi
2,ACTIVE,Public Policy and ESG,ESG Challenges in Large-scale Infrastructure Projects,—,T2 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",205,Sun Kim
6,ACTIVE,Industry Classification and Regulatory Policy,Coordinating Market Actors for the Public Good: Competition Policy as the Industrial Policy of Democratic Economic Governance,—,F1 (2026-06-05),Public Policy & Global Competitiveness,24,Audrey Stienon
6,ACTIVE,Industry Classification and Regulatory Policy,Regulatory Reform and Market Evolution in the Spectrum Commons,—,F1 (2026-06-05),Public Policy & Global Competitiveness,73,Haiyang Zhang
6,ACTIVE,Industry Classification and Regulatory Policy,Dynamic Competition in Networked Markets: Evidence from US Broadband,—,F1 (2026-06-05),Public Policy & Global Competitiveness,134,Jennifer Zou
6,ACTIVE,Industry Classification and Regulatory Policy,Who Really Knows How Many Workers and Firms Are in An Industry?,—,F1 (2026-06-05),Public Policy & Global Competitiveness,181,Andrew Reamer
7,ACTIVE,Biomedical Innovation & Organizational Ecosystems,Mind the Gap in Drug Development: Understanding the Whitespace Between Clinical Trials,—,T1 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",48,Sandra Barbosu
7,ACTIVE,Biomedical Innovation & Organizational Ecosystems,Strategic Reserves: Shelved Innovation as a Real Option,—,T1 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",169,Elisabeth Hofmeister
7,ACTIVE,Biomedical Innovation & Organizational Ecosystems,Misleading Science Maps: Firms’ Strategic Responses to Data Malpractice in Alzheimer’s Research,—,T1 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",30,Matteo Tranchero
7,ACTIVE,Biomedical Innovation & Organizational Ecosystems,‘Save the Life of My Child’: De-Risking Innovation and the Case of CAR T-Cell Therapy,—,T1 (2026-06-04),"Health Care Systems, Biotechnology & Pharmaceuticals",71,Kevin Chandra
15,ACTIVE,Advanced Technologies and Digital Innovation,AI Adoption and Firm Performance: Size-Dependent Effects and the Moderating Role of Regional Innovation Ecosystems,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",33,Marco Cucculelli
15,ACTIVE,Advanced Technologies and Digital Innovation,The Value of Cross-Product and Cross-Location Information in Demand Forecasting,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",52,Rang (Rae) Gong
15,ACTIVE,Advanced Technologies and Digital Innovation,Stars vs. Centrality: What Matters in New Digital Product Development Teams?,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",194,Karthik Ramachandran
17,ACTIVE,Entrepreneurship Research and Policy,"A Theoretical Framework for Teaching STEM Graduate Students Entrepreneurship, Family Business Governance, and Scaling to Global Family Conglomerates",—,W3 (2026-06-03),"Innovation, Entrepreneurship & AI-Driven Transformation",108,John Lecounte
17,ACTIVE,Entrepreneurship Research and Policy,Political Entrepreneurs: Are Entrepreneurs in Politics Entrepreneurial in Policymaking?,—,W3 (2026-06-03),"Innovation, Entrepreneurship & AI-Driven Transformation",120,Joyce Ma
17,ACTIVE,Entrepreneurship Research and Policy,Mapping the Evolution of Entrepreneurship as a Scientific Discipline: A Sixty-Year Bibliometric and Network Analysis (1960–2020),—,W3 (2026-06-03),"Innovation, Entrepreneurship & AI-Driven Transformation",208,Claudia Gonzalez Brambila
18,ACTIVE,Generative AI and the Future of Work,Designing industrial policy to create good jobs in an age of AI: Suggestions from history,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",147,Susan Helper
18,ACTIVE,Generative AI and the Future of Work,How Does Generative AI Affect Theories of the Firm?,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",62,Boyoon Chang
18,ACTIVE,Generative AI and the Future of Work,Beyond Productivity: Evaluating the Hidden Costs of Generative AI in Software Development,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",63,Edward Anderson
18,ACTIVE,Generative AI and the Future of Work,Synthetic Creativity and Human Talents: How Generative AI Reshapes Value in the Music Industry,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",138,Mingtao Xu
23,ACTIVE,"Hiring, Skills, and Labor Market Dynamics",Skill-Biased or Skill-Agnostic Hiring? Evidence from the U.S. Semiconductor Industry,—,W3 (2026-06-03),"Labor Markets, Organizations & the Future of Work",72,Wilson Martinez Diaz
23,ACTIVE,"Hiring, Skills, and Labor Market Dynamics","Redeployment or Hiring? R&D Characteristics, Organizational Capabilities, and Strategic Human Capital Sourcing in Multi-Business Firms",—,W3 (2026-06-03),"Labor Markets, Organizations & the Future of Work",100,Kyungsoo Kim
23,ACTIVE,"Hiring, Skills, and Labor Market Dynamics",Skill-Based Measures of Workforce Readiness Across Canadian Regions,—,W3 (2026-06-03),"Labor Markets, Organizations & the Future of Work",119,Rohan Sharma
26,ACTIVE,"Platform Work, Control, and Worker Voice",The Impact of Robotics on the Demand for Skills,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",86,Avner Ben-Ner
26,ACTIVE,"Platform Work, Control, and Worker Voice",Driving the Skill Shift: The Impact of Generative AI Adoption on Skill Demand in the Labor Market,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",144,Sojung Yoon
26,ACTIVE,"Platform Work, Control, and Worker Voice",Can a voice channel reduce turnover? Evidence on employee voice and exit from a cluster-randomized trial in U.S. fulfillment centers,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",27,Alex Kowalski
26,ACTIVE,"Platform Work, Control, and Worker Voice",Should we judge a book by its cover? The role of artists as content suppliers in new board game development,—,T1 (2026-06-04),"Labor Markets, Organizations & the Future of Work",141,Yinyin Cao
29,ACTIVE,Digital Platforms and Last-Mile Delivery,Delivered on Demand: Uncovering the Value of On-Demand Delivery for Retail Success,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",61,Yawen Zheng
29,ACTIVE,Digital Platforms and Last-Mile Delivery,Digitizing Micro-retailers: Evidence from Hindustan Unilever’s Last-Mile Operations,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",98,Canberk Ucel
29,ACTIVE,Digital Platforms and Last-Mile Delivery,Achieving Rawlsian Justice in Food Rescue,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",2004,Aydin Alptekinoglu
31,ACTIVE,Manufacturing Operations and Digital Technology,The Financial Impact of Supply Chains,—,W2 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",135,Yao Zhao
31,ACTIVE,Manufacturing Operations and Digital Technology,From Persuasion to Learning: Dynamic Information Design in Supply Chains,—,W2 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",193,Shailesh Divey
31,ACTIVE,Manufacturing Operations and Digital Technology,Cascading Failures: An Analysis of a Major IT Outage,—,W2 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",28,Tianyu Xu
31,ACTIVE,Manufacturing Operations and Digital Technology,Learning curve effects in outsourcing: Evidence from the medtech industry,—,W2 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",183,Oliver Von Dzengelevski
32,ACTIVE,Sustainable and Circular Supply Chains,From sustainability pursuit to place-based outcomes: Urgency and infrastructure in U.S. data center expansion,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",201,Angela Ryu
32,ACTIVE,Sustainable and Circular Supply Chains,Imported solar photovoltaics contributed to health and climate benefits in the United States,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",83,Gang He
32,ACTIVE,Sustainable and Circular Supply Chains,Fertilizer Pollution Mitigation is a Newsvendor Problem: Evidence from the US Midwest,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",99,Canberk Ucel
32,ACTIVE,Sustainable and Circular Supply Chains,Apparel Closed-Loop Supply Chains,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",170,Akshay Mutha
36,ACTIVE,AI and Data Tools for Manufacturing and Industry Intelligence,Beyond NAICS: A Generative AI Approach to Customized Industry Classification,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",110,Peter Eberhardt
36,ACTIVE,AI and Data Tools for Manufacturing and Industry Intelligence,Manufacturing Intelligence Platform: Building Open Source Intelligence with Public Data,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",2003,Nikhil Kalathil
36,ACTIVE,AI and Data Tools for Manufacturing and Industry Intelligence,Scaling Gap between Digital and Physical Platforms: Evidence from Fragmented Logistics Ecosystems,—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",37,Kyungmin (Brad) Lee
36,ACTIVE,AI and Data Tools for Manufacturing and Industry Intelligence,"The Real Bottleneck in AI: Power Generation, Environmental Policy, and National Competitiveness",—,W1 (2026-06-03),"Operations, Supply Chain & AI-Enhanced Industry 4.0",113,Prathyaj Mantha
37,ACTIVE,AI and Digital Economy Policy,"Forecasting the Winners and Losers of H-1B Reforms Across Industries and Workers: Will firms, universities, and health care lose workers or profits?",—,W2 (2026-06-03),Public Policy & Global Competitiveness,211,Ron Hira
37,ACTIVE,AI and Digital Economy Policy,Data Privacy Regulation in Digital Economy: Evidence from Mobile App Markets in Southeast and South Asia,—,W2 (2026-06-03),Public Policy & Global Competitiveness,157,Mingtao Xu
37,ACTIVE,AI and Digital Economy Policy,The Mutual Shaping of the Policies and Sectoral Developments in AI-Enabled Biomedical  Clusters: A Comparative Prospective of Responsible Innovation in Taiwan and Virginia,—,W2 (2026-06-03),Public Policy & Global Competitiveness,197,Shih-Hsin Chen
39,ACTIVE,Humanitarian and Development Policy,Optimal Design of Reliability Rating Systems and Resource Allocation for Improving Drug Shortages,—,W1 (2026-06-03),Public Policy & Global Competitiveness,171,Junghee Lee
39,ACTIVE,Humanitarian and Development Policy,"""If we don't do it, who will?"" Stretching humanitarian operations capabilities in the West Africa Ebola epidemic",—,W1 (2026-06-03),Public Policy & Global Competitiveness,177,Erica Gralla
39,ACTIVE,Humanitarian and Development Policy,Rewiring the humanitarian ecosystem: relationships in a post-USAID world,—,W1 (2026-06-03),Public Policy & Global Competitiveness,180,Erica Gralla
40,ACTIVE,Industrial Policy Frameworks,The Institutional Economics of Artificial Intelligence (AI) in Higher Education: A Transaction Cost Analysis of University Transformation,—,T1 (2026-06-04),Public Policy & Global Competitiveness,116,Pelin Bicen
40,ACTIVE,Industrial Policy Frameworks,Industrial Innovation Policy: new wine in new bottles. Why government intervention should be informed by the functioning of industrial innovation systems,—,T1 (2026-06-04),Public Policy & Global Competitiveness,90,Keno Haverkamp
40,ACTIVE,Industrial Policy Frameworks,Evaluating Industrial Policy Instruments: Insights from Economic Complexity,—,T1 (2026-06-04),Public Policy & Global Competitiveness,118,Abhishek Krishnan
40,ACTIVE,Industrial Policy Frameworks,Key Federal Industrial Policy Initiatives Since 1789,—,T1 (2026-06-04),Public Policy & Global Competitiveness,176,Andrew Reamer
41,ACTIVE,"Private Capital, Innovation Policy, and Regulatory Strategy",STTR Super Users: Examining the Research Organizations Involved in STTR Grants,—,T2 (2026-06-04),Public Policy & Global Competitiveness,45,Jennifer Woolley
41,ACTIVE,"Private Capital, Innovation Policy, and Regulatory Strategy",Innovators as Rulemakers: Technical Knowledge and Firm Influence in Environmental Regulations,—,T2 (2026-06-04),Public Policy & Global Competitiveness,191,Joyce Ma
41,ACTIVE,"Private Capital, Innovation Policy, and Regulatory Strategy",Children Before Profits: Constraining Private Equity Profiteering to Advance Child Care as a Public Good,—,T2 (2026-06-04),Public Policy & Global Competitiveness,25,Audrey Stienon
41,ACTIVE,"Private Capital, Innovation Policy, and Regulatory Strategy",Strategic Focus: Evidence from Private Equity Transactions in US Power Generation Sector,—,T2 (2026-06-04),Public Policy & Global Competitiveness,74,Haiyang Zhang
42,ACTIVE,Industrial Statecraft and Emerging Technology Policy,Industrial Statecraft in the New Global Order: A Survival Guide for LMICs,—,T3 (2026-06-04),Public Policy & Global Competitiveness,41,Max Walter
42,ACTIVE,Industrial Statecraft and Emerging Technology Policy,The Co-Evolution of Policy Framework and the Artificial Intelligence Innovation Ecosystem in Taiwan,—,T3 (2026-06-04),Public Policy & Global Competitiveness,196,Hung-Chi Chang
42,ACTIVE,Industrial Statecraft and Emerging Technology Policy,State-Led Path Creation in Emerging Industries: A Comparative Study of China’s Electric Vehicle Hubs in Shenzhen and Hefei,—,T3 (2026-06-04),Public Policy & Global Competitiveness,161,Jun Sun
43,ACTIVE,Industrial Decarbonization Pathways,Energy Justice and the Infrastructure of Demand: Community Preferences for Equitable Solar Farm and AI Data Center Development,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",142,Brissa Acevedo
43,ACTIVE,Industrial Decarbonization Pathways,Industrial Decarbonization: Pathways for Productivity and Growth,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",64,Nathan Collett
43,ACTIVE,Industrial Decarbonization Pathways,The Impact of Import Bans on the U.S. Recycling Market: Evidence and Interventions,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",76,Mateus Do Rego Ferreira Lima
43,ACTIVE,Industrial Decarbonization Pathways,An Agent-Based Model of Technology Diffusion in the U.S. Cement Industry,—,F1 (2026-06-05),"Sustainable Innovation, Energy & Mobility",163,Vanessa Cedeno-Mieles
47,ACTIVE,Green Innovation and Sustainable Energy Strategies,Co-creation over R&D: External Knowledge as the Engine of Green Innovation in Italian SMEs,—,T1 (2026-06-04),"Sustainable Innovation, Energy & Mobility",66,Syed Muhammad Ali Shah
47,ACTIVE,Green Innovation and Sustainable Energy Strategies,Implementing a Comprehensive Intervention to Promote Sustainable Agricultural Practices in India,—,T1 (2026-06-04),"Sustainable Innovation, Energy & Mobility",133,Subhankar Saha
47,ACTIVE,Green Innovation and Sustainable Energy Strategies,Harnessing the Wind: Temporal Conditions of Plural Sourcing Strategies  in the Electric Utility Industry,—,T1 (2026-06-04),"Sustainable Innovation, Energy & Mobility",44,Jennifer Woolley
19,ACTIVE,Industrial Policy and Technology Development,Timing University Entry: Institutional Pressures and Semiconductor Research Adop,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",84,Shuqi Sun
19,ACTIVE,Industrial Policy and Technology Development,Seeding Translational Research: Evidence from Corporate Scientist Migration to A,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",195,Jungkyu Suh
19,ACTIVE,Industrial Policy and Technology Development,Coopetition in Charging Infrastructure,—,T2 (2026-06-04),"Innovation, Entrepreneurship & AI-Driven Transformation",203,Abhishek Roy
42,ACTIVE,Industrial Statecraft and Emerging Technology Policy,The Power and Pitfalls of Techno-Industrial Policy: Evidence from China,—,T3 (2026-06-04),Public Policy & Global Competitiveness,146,Hannah Wei
